Population,ID,Sex,Mom_ID,Litter,Treatment,Pred_Tutor,Pred,Tutor_pop,Birth Day,Day,Date,Time,Water,Weight,Run,Latency,Attempts,Notes
AH,AHF2_1G4O.1.2,M,AHF2_1G4O,1,pred-/dif,pred-/AL,pred-,AL,22-Dec,1,7-Feb,15:43,pred+,0.065,2,282,6,
AH,AHF2_1G4O.1.2,M,AHF2_1G4O,1,pred-/dif,pred-/AL,pred-,AL,22-Dec,2,8-Feb,15:26,pred-,0.065,1,51,17,
AH,AHF2_1G4P.3.2,M,AHF2_1G4P,3,pred-/dif,pred-/AL,pred-,AL,12-Feb,1,6-Apr,17:33,pred+,0.108,1,37,14,
AH,AHF2_1G4P.3.2,M,AHF2_1G4P,3,pred-/dif,pred-/AL,pred-,AL,12-Feb,2,7-Apr,14:50,pred-,0.108,1,18,3,mostly on floor
AH,AHF2_1O3P.1.3,M,AHF2_1O3P,1,pred-/dif,pred-/AL,pred-,AL,2-Dec,1,17-Feb,NA,pred+,0.13,NA,15,4,not clear if redone
AH,AHF2_1O3P.1.3,M,AHF2_1O3P,1,pred-/dif,pred-/AL,pred-,AL,2-Dec,2,18-Feb,NA,pred-,0.13,NA,14,67,
AH,AHf2_1O3Y.1.1,M,AHf2_1O3Y,1,pred-/dif,pred-/AL,pred-,AL,9-Mar,1,26-Apr,17:14,pred-,0.098,1,87,71,
AH,AHf2_1O3Y.1.1,M,AHf2_1O3Y,1,pred-/dif,pred-/AL,pred-,AL,9-Mar,2,27-Apr,15:19,pred+,0.098,1,25,27,
AH,AHF2_1O3Y.2.3,M,AHF2_1O3Y,2,pred-/dif,pred-/AL,pred-,AL,1-Apr,1,17-May,15:35,pred-,0.096,1,5,24,
AH,AHF2_1O3Y.2.3,M,AHF2_1O3Y,2,pred-/dif,pred-/AL,pred-,AL,1-Apr,2,18-May,15:15,pred+,0.096,1,39,2,
AH,AHF2_1O3Y.4.11,M,AHF2_1O3Y,4,pred-/dif,pred-/AL,pred-,AL,18-May,1,3-Jul,15:21,pred+,0.126,1,14,76,
AH,AHF2_1O3Y.4.11,M,AHF2_1O3Y,4,pred-/dif,pred-/AL,pred-,AL,18-May,2,4-Jul,15:48,pred-,0.126,1,448,10,
AH,AHF2_1O3Y.5.16,M,AHF2_1O3Y,5,pred-/dif,pred-/AL,pred-,AL,10-Jun,1,27-Jul,14:19,pred-,0.105,1,88,3,
AH,AHF2_1O3Y.5.16,M,AHF2_1O3Y,5,pred-/dif,pred-/AL,pred-,AL,10-Jun,2,28-Jul,15:42,pred+,0.105,1,48,6,
AH,AHF2_1O3Y.5.17,M,AHF2_1O3Y,5,pred-/dif,pred-/AL,pred-,AL,10-Jun,1,28-Jul,15:13,pred-,0.091,2,139,30,didn't eat 7/27
AH,AHF2_1O3Y.5.17,M,AHF2_1O3Y,5,pred-/dif,pred-/AL,pred-,AL,10-Jun,2,29-Jul,14:44,pred+,0.091,1,84,15,
AH,AHF2_1O3Y.5.4,M,AHF2_1O3Y,5,pred-/dif,pred-/AL,pred-,AL,10-Jun,1,27-Jul,14:54,pred-,0.098,1,344,5,
AH,AHF2_1O3Y.5.4,M,AHF2_1O3Y,5,pred-/dif,pred-/AL,pred-,AL,10-Jun,2,28-Jul,15:51,pred+,0.098,1,246,6,
AH,AHF2_1P3G.6.5,M,AHF2_1P3G,6,pred-/dif,pred-/AL,pred-,AL,6-Aug,1,21-Sep,15:30,pred-,0.128,1,480,23,
AH,AHF2_1P3G.6.5,M,AHF2_1P3G,6,pred-/dif,pred-/AL,pred-,AL,6-Aug,2,22-Sep,15:28,pred+,0.128,1,257,3,
AH,AHF2_1Y2P.6.3,M,AHF2_1Y2P,6,pred-/dif,pred-/AL,pred-,AL,31-Jul,1,15-Sep,15:57,pred-,0.097,1,19,28,
AH,AHF2_1Y2P.6.3,M,AHF2_1Y2P,6,pred-/dif,pred-/AL,pred-,AL,31-Jul,2,16-Sep,14:30,pred+,0.097,1,65,28,
AH,AHF2_1Y3O.4.3,M,AHF2_1Y3O,4,pred-/dif,pred-/AL,pred-,AL,23-Mar,1,9-May,16:19,pred+,0.095,1,14,161,bottom
AH,AHF2_1Y3O.4.3,M,AHF2_1Y3O,4,pred-/dif,pred-/AL,pred-,AL,23-Mar,2,10-May,17:43,pred-,0.095,1,3,8,bottom
AH,AHF2_1Y3O.5.3,M,AHF2_1Y3O,5,pred-/dif,pred-/AL,pred-,AL,18-Apr,1,3-Jun,15:55,pred+,0.118,1,124,7,redone from 2/6; cut off at 10 min
AH,AHF2_1Y3O.5.3,M,AHF2_1Y3O,5,pred-/dif,pred-/AL,pred-,AL,18-Apr,2,4-Jun,16:18,pred-,0.118,1,474,1,
AH,AHF2_1Y3Y.1.1,M,AHF2_1Y3Y,1,pred-/dif,pred-/AL,pred-,AL,22-Dec,1,7-Feb,15:53,pred+,0.09,2,600,0,didn't eat 
